dataset,fold,split,label,mean,std
amazon,0,train,0,140.41171875,56.7761918097796
amazon,0,test,0,142.94987674609695,62.500326654735595
amazon,0,train,1,140.9015625,58.63018098691671
amazon,0,test,1,140.86239316239318,56.499518531335966
amazon,1,train,0,141.32578125,62.50108217324824
amazon,1,test,0,138.09046052631578,56.35118128914999
amazon,1,train,1,141.63515625,57.049804296667595
amazon,1,test,1,142.84457728437232,54.912349326089355
amazon,2,train,0,140.54453125,58.51380353786409
amazon,2,test,0,142.12889273356402,61.940001909026655
amazon,2,train,1,140.51015625,57.014457239813936
amazon,2,test,1,138.75853658536585,54.49137535520939
amazon,3,train,0,139.89609375,60.325919365072174
amazon,3,test,0,140.46448979591835,63.709152293561246
amazon,3,train,1,142.1890625,56.60876041189275
amazon,3,test,1,138.62187769164512,55.41020006028321
headlines,0,train,0,69.996875,18.485636051658496
headlines,0,test,0,70.44791666666667,18.604292062847303
headlines,0,train,1,69.1234375,18.920072362007293
headlines,0,test,1,70.9090909090909,18.529643532524837
headlines,1,train,0,71.2140625,18.467990612031823
headlines,1,test,0,70.42337662337663,18.71550434490421
headlines,1,train,1,69.8796875,19.078732266645645
headlines,1,test,1,70.37869062901156,18.740141996098775
headlines,2,train,0,71.15703125,18.636226413534587
headlines,2,test,0,71.66709511568124,18.905079418199588
headlines,2,train,1,70.415625,18.75859985071842
headlines,2,test,1,69.8715953307393,19.12550832425495
headlines,3,train,0,71.16953125,18.89961581369505
headlines,3,test,0,70.2020592020592,18.672524247751113
headlines,3,train,1,69.7265625,18.53101911481378
headlines,3,test,1,70.06088082901555,18.275388281530986
igg,0,train,0,96.365625,35.41624017819196
igg,0,test,0,93.60096153846153,38.29741152930148
igg,0,train,1,70.2796875,31.978971018504456
igg,0,test,1,70.53881278538813,32.53017005623127
igg,1,train,0,95.3265625,35.07651788495544
igg,1,test,0,99.04109589041096,39.64273270516643
igg,1,train,1,70.64453125,32.05141452756451
igg,1,test,1,69.75,32.95823405930136
igg,2,train,0,95.75625,35.420906057546055
igg,2,test,0,97.86111111111111,36.149498826845424
igg,2,train,1,70.31953125,31.7030941870075
igg,2,test,1,70.65238095238095,30.580387724466235
igg,3,train,0,95.87265625,36.379147561746706
igg,3,test,0,98.31718061674009,33.32334995109243
igg,3,train,1,70.17734375,32.55700221065109
igg,3,test,1,71.04522613065326,27.89504674649365
twss,0,train,0,66.54140625,37.254339150258254
twss,0,test,0,67.46473029045643,35.87217684223087
twss,0,train,1,49.9234375,25.23459457141318
twss,0,test,1,48.445344129554655,23.464764879995656
twss,1,train,0,66.3890625,35.25217465449615
twss,1,test,0,65.75833333333334,39.99041465012445
twss,1,train,1,49.48359375,24.3833263898706
twss,1,test,1,52.520161290322584,30.96863001708788
twss,2,train,0,66.796875,37.48621817060738
twss,2,test,0,64.45922746781116,34.66924418136422
twss,2,train,1,49.8703125,25.769296044951265
twss,2,test,1,47.898039215686275,24.0105654047814
twss,3,train,0,66.90703125,38.0848347516635
twss,3,test,0,66.86234817813765,34.204749051030234
twss,3,train,1,49.70546875,25.943808897168054
twss,3,test,1,50.61825726141079,25.274499610730594
