dataset,split,label,mean_of_means,std_of_means,mean_of_stds,std_of_stds
amazon,train,0,140.54453125,0.5119721462302661,59.52924922149102,2.125848622280019
amazon,train,1,141.308984375,0.6490463303309072,57.325800733822746,0.7727650795227001
amazon,test,0,140.90842995047376,1.8570856846538155,61.12516553661837,2.8294407384549203
amazon,test,1,140.27184618094412,1.7306207712548094,55.328360818229484,0.7503196447861981
headlines,train,0,70.884375,0.5128366248705266,18.622367222729988,0.17290633984552517
headlines,train,1,69.78632812500001,0.46036030466084465,18.822105898546283,0.20261975134557725
headlines,test,0,70.68511190194593,0.5749777992698301,18.724350018425554,0.11162569718299364
headlines,test,1,70.30506442446433,0.3929980584008869,18.66767053360239,0.3113697053916208
igg,train,0,95.83027343749998,0.37000060004108365,35.57320292061004,0.48581746217757826
igg,train,1,70.35527343749999,0.17487123384162626,32.07262048593189,0.30838095606669136
igg,test,0,97.20508728918091,2.1229560072532583,36.85324825310144,2.388633309767266
igg,test,1,70.49660496710558,0.47022649210561884,30.99095964662313,1.9995364017864405
twss,train,0,66.65859375,0.2044644837072143,37.01939168175632,1.0643486553169477
twss,train,1,49.745703125,0.17134550897897985,25.332756475850776,0.6072489408461922
twss,test,0,66.13615981743465,1.1453497276277607,36.184146181187444,2.2802382328397215
twss,test,1,49.87045047424358,1.8372205002622606,25.929614978148884,2.9824103498130863
