sentence,label,idx
A pathway-based gene signature correlates with therapeutic response in adult patients with Philadelphia chromosome-positive acute lymphoblastic leukemia,0,2311
Synchronization control of switched linearly coupled neural networks with delay,0,1940
Effects of Group Size and Personality on Social Foraging: The Distribution of Sheep Across Patches.,1,972
Self-inflicted cesarean section with maternal and fetal survival.,1,225
The Development of the Attitudes to Chocolate Questionnaire.,1,1226
Sex Differences in Sport Fan Behavior and Reasons for Being a Sport Fan.,1,1611
"Partitioning the effects of spatial isolation, nest habitat, and individual diet in causing assortative mating within a population of threespine stickleback.",0,3401
Conflict anticipation in alcohol dependence - A model-based fMRI study of stop signal task,0,2695
Review of Deep Oil Spill Modeling Activity Supported by the Deep Spill JIP and Offshore Operators Committee,1,1062
"Introduction, rationale, and methodology",0,2994
Physical and situational inequality on airplanes predicts air rage,1,502
Analysis of Plasma Biopterin Levels in Psychiatric Disorders Suggests a Common BH4 Deficit in Schizophrenia and Schizoaffective Disorder,0,3032
It's 8 a.m.: do you know where your paradigm is?,1,334
Where has all the road kill gone?,1,792
Phenolic Compounds of the Inner Bark of Betula pendula: Seasonal and Genetic Variation and Induction by Wounding,0,3404
Human Digestive Effects on a Micromammalian Skeleton.,1,34
Valproate and lamotrigine in children and adolescents with drop attacks: follow-up after the first year.,0,3044
Human face structure correlates with professional baseball performance: insights from professional Japanese baseball players,1,689
Decreased level of psychobiological factor novelty seeking and lower intelligence in men latently infected with the protozoan parasite,1,203
Author index,0,2444
A program to help major league baseball players quit using spit tobacco,1,381
"Comparative Innate Responses of the Aphid Parasitoid Diaeretiella rapae to Alkenyl Glucosinolate Derived Isothiocyanates, Nitriles, and Epithionitriles",0,1853
"Contralateral Delay Activity Indexes Working Memory Storage, Not the Current Focus of Spatial Attention",0,3272
Equidistant Letter Sequences in the Book of Genesis,1,183
Is There a Relationship Between Honor Codes and Academic Dishonesty?,1,568
"Heavy cannabis use prior psychosis in schizophrenia: clinical, cognitive and neurological evidences for a new endophenotype?",0,3065
Authenticable reversible data hiding scheme with less distortion in dual stego-images,0,2032
From upright to upside-down presentation: A spatio-temporal ERP study of the parametric effect of rotation on face and house processing,0,2997
Does degree of baldness influence vitamin D status?,1,546
"Littoral epilithon of lentic water bodies at Hope Bay, Antarctic Peninsula: biomass variables in relation to environmental conditions",0,1758
Severe Infestation of a She-Ass with the Cat Flea Ctenocephalides felis felis (Bouche 1835),1,1468
The History of Freckles in Art,1,515
Neuropsychology Review 20092015,0,2975
"The Relationship between Familial Resemblance and Sexual Attraction: An Update on Westermarck, Freud, and the Incest Taboo",1,1524
Long-term loss of dopamine release mediated by CRF-1 receptors in the rat lateral septum after repeated cocaine administration,0,3341
Shape and efficiency of wood ant foraging networks,0,1924
Perception of Female Buttocks and Breast Size in Profile,1,1638
Is Teaching Simple Surgical Skills Using an Operant Learning Program More Effective Than Teaching by Demonstration?,1,1701
Would you like a bite of my peanut butter sandwich?,1,1232
Computational study of structural changes in neuronal networks during growth: a model of dissociated neocortical cultures,0,2866
Do nice guys--and gals--really finish last? The joint effects of sex and agreeableness on income.,1,309
Beware of the flaming hairball--a brief review and warning.,1,249
Development of a SCAR (sequence characterised amplified region) marker for molecular tagging of the dwarf BREIZH (Bzh) gene in Brassica napus L.,0,1888
"Biological Transmutations and their applications in: Chemistry, Physics, Biology, Ecology, Medicine, Nutrition, Agronomy, Geology",1,197
Integrating business and software development models,0,1991
Food deprivation and emotional reactions to food cues: implications for eating disorders,0,2984
Passage of feed through the adult rooster,1,1052
The Synaptic Localization of NR2B-Containing NMDA Receptors Is Controlled by Interactions with PDZ Proteins and AP-2,0,3072
The Dead Mule Rides Again,1,669
Waiting for a Phone: Intrusion on Callers Leads to Territorial Defense,1,1465
