id,bert_sentence,t5_sentence,target,label
558,"A ""rose is a rose is a rose is a rose,"" but exactly what is a gastric adenocarcinoma?","A ""rose is a rose is a rose is a rose,"" but exactly what is a gastric adenocarcinoma?",funny,1
149,Is a Sigh 'Just a Sigh'? Sighs as Emotional Signals and Responses to a Difficult Task,Is a Sigh 'Just a Sigh'? Sighs as Emotional Signals and Responses to a Difficult Task,funny,1
531,Spider behaviors include oral sexual encounters.,Spider behaviors include oral sexual encounters.,funny,1
2562,Protagonist: endoscopic surveillance of patients with Barrett's oesophagus.,Protagonist: endoscopic surveillance of patients with Barrett's oesophagus.,not funny,0
2049,It's going to be really hot and tight.,It's going to be really hot and tight.,funny,1
1326,The Influence of Assortment Structure on Perceived Variety and Consumption Quantities.,The Influence of Assortment Structure on Perceived Variety and Consumption Quantities.,funny,1
1734,mom walked in on me masturbating,mom walked in on me masturbating,not funny,0
1641,The Relation Between Dominance and Exploratory Behavior is Context-Dependent in Wild Great Tits.,The Relation Between Dominance and Exploratory Behavior is Context-Dependent in Wild Great Tits.,funny,1
1011,An Epidemiological Study of Headache Among the Monks of Athos (Greece).,An Epidemiological Study of Headache Among the Monks of Athos (Greece).,funny,1
638,"Impression of Characters in the Japanese Magical Girl Anime Metaseries, ""Pretty Cure""","Impression of Characters in the Japanese Magical Girl Anime Metaseries, ""Pretty Cure""",funny,1
449,Observations of Drinking in Natural Settings: Vancouver Beer Parlors and Cocktail Lounges,Observations of Drinking in Natural Settings: Vancouver Beer Parlors and Cocktail Lounges,funny,1
1395,Rapid carbohydrate fermentation test for confirmation of the pathogenic Neisseria using a Ba(OH)2 indicator.,Rapid carbohydrate fermentation test for confirmation of the pathogenic Neisseria using a Ba(OH)2 indicator.,funny,1
2822,A current source density analysis of field potentials evoked in slices of visual cortex,A current source density analysis of field potentials evoked in slices of visual cortex,not funny,0
2065,An improved family of estimators of finite population mean based on the auxiliary attribute,An improved family of estimators of finite population mean based on the auxiliary attribute,not funny,0
595,Formation of coffee stains on porous surfaces.,Formation of coffee stains on porous surfaces.,funny,1
3567,This is the farthest I've ever gone!,This is the farthest I've ever gone!,funny,1
2949,Why does it get all wet like that?,Why does it get all wet like that?,funny,1
3573,was walking to my friends Halloween themed birthday party in my zombie costume,was walking to my friends Halloween themed birthday party in my zombie costume,not funny,0
3538,...a great penetration!,...a great penetration!,funny,1
3533,I love Dicks!,I love Dicks!,funny,1
3330,Getting neural circuits into shape with semaphorins,Getting neural circuits into shape with semaphorins,not funny,0
1561,mom walked in on me and my 2 year crush about to have sex,mom walked in on me and my 2 year crush about to have sex,not funny,0
