,sentence,label,idx
0,was having sex with a girl,0,2900
1,"moving house, changing my number, my email, and beginning legal action to get away from a girl who was stalking me, I decided to go to the movies to relax",0,1828
2,was at work at Panera,0,17
3,OK... I swallowed!,1,2379
4," That's huge, I bet it hurt!",1,382
5,"You have to make me come again tomorrow, but I'll probably just sit around and watch you do all of the work.",1,3024
6,"be careful, it's all wet and slippery.",1,732
7,8 year old little sister said f you to my mom,0,1393
8,had a school assembly at 7:00pm about drinking and driving,0,3585
9,had to give a presentation about Adolf Hitler,0,1474
10,That black one was really short. I was kind of disappointed.,1,664
11,It's hard to do it standing up.,1,52
12,was playing around with my sister's kitten,0,1982
13,I'm tired and irritated of being in the same position!,1,289
14,was driving my little sister to school,0,2774
15,you know i really feel like there is something powerful between my legs.,1,419
16,was at a sandwich shop and couldn't help but secretly remove a loose hair from a girl standing in front of me,0,2047
17,Don't poke me with that! It's got white stuff on it!!,1,2894
18,Come on! come on! Faster faster! Harder Harder! Come on you can do it!,1,3680
19,"Stick the narrower part in first, it goes in easier that way.",1,1841
20,was at my boyfriend's house while his plumbing was being redone,0,1660
21,"was giving my boyfriend a blow job, he was twitching and moving around and saying oh yeah then he said take that bitch",0,90
22,was getting mugged,0,1801
23,nine year old son went around telling everyone that me and my husband had a foursome last month,0,550
24,"to be cute, I told my soon-to-be husband he was the ying to my yang",0,2273
25,"Sure, just make me go down, why don't ya!",1,3859
26,Why won't it go in the hole??,1,1224
27,I hate how he always puts it in at the wrong time.,1,89
28,He would make a terrible father because as soon as it came close to the end he would just pull out.,1,3386
29,Oh thank God it's shorter. Otherwise that would be waaayyy too long for me to handle.,1,2638
30,got on a bus that was so overcrowded I had to stand next to the driver with nothing to hang on to,0,3513
31,awoke to my husband donning a gorilla mask in the middle of the night,0,488
32,"Don't ask questions, just put this in your mouth and suck on it.",1,1111
33,was baby-sitting four rather noisy and rowdy kids,0,2605
34,"Oh no, she's going in with no protection!",1,597
35,went out to eat with my girlfriend,0,1218
36,"was in the bathroom having major diarrhea, when the lights went out",0,951
37,"Wow, you suck a lot! You suck more than I do!",1,797
38,boyfriend questioned why I always put my shirts in the dryer right before wearing them,0,344
39,fianc̩'s parents visited,0,3038
40,The stuff comes out no matter where you squeeze it.,1,3071
41,Have you tried taking it out and putting it back in?,1,622
42,She helped me put it in the back,1,288
43,Now I'm all wet.,1,2637
44,"months of trying to potty train my son, he finally told me he used the potty",0,2662
45,boyfriend was going down on me,0,2315
46,man pulled me violently into an alleyway and informed me I was being mugged,0,3940
47,I'm super sticky (I'm an art student and had been messing with glue all day) I'm dripping wet and the worst part is I assumed it wouldn't come until later on!,1,623
48,"was driving home from school, when I saw this girl I like walking home",0,789
49,"That just kind of squirted out there, didn't it!",1,229
50,You looked like you had two enormous balls in your mouth.,1,1056
51,I hate going down because it hurts my knees.,1,3623
52,walked in on my boyfriend humping my stuffed rabbit,0,3893
53,"Jeez, how many inches is that?",1,1208
54,met my girlfriend's parents for the first time,0,2833
55,arrived at my parents house for dinner,0,3008
56,I don't know what I'm doing. I really like him but I don't know how much he likes me.,1,302
57,"walked in on my boyfriend saying, I shall be the prince, and you shall be the princess, to his hamster",0,3310
58,the smallest I'll go for is 3.5 inches.,1,611
59,"I remember when Dad asked if I was ready to handle a populated road and I was heaps excited but when I came to the intersection, I pulled out too late and a guy came in my ass",1,1539
60,yes I don't understand.,1,2562
61,asked my girlfriend when she would give me a blowjob,0,2075
62,i'm still waiting for it to go in,1,586
63,should i go deeper?,1,1396
64,kissed the girl I love for the first time,0,1163
65,Get that thing out of your mouth!,1,1899
66,I wanna blow next!,1,136
67,"went to the library to pick up Romeo and Juliet, for my English class",0,237
68,"Here you hold it, and i'll slip it in, ok?",1,1398
69,You can't go that fast when it's this tight!,1,1980
70,boyfriend dumped me because he said the relationship was too tough for him,0,2032
71,girlfriend dumped me for someone else,0,2597
72,got a call from my daughter's pre-school,0,1042
73,ran to a public bathroom because of explosive diarrhea,0,1934
74,It's a lot easier with your legs open.,1,1316
75,had the sudden urge to sneeze as I was wiping my ass,0,122
76,dad thought it'd be funny to put an Edward Cullen cutout behind my car as I backed it out the garage to see my reaction,0,3198
77,"Yeah, it's so big but my opening is so small.",1,3106
78,How do you get it off?,1,2043
79,I have a muffin downstairs.,1,322
80,"it was soooo long, and really hard.",1,823
81,Just getting it in correctly is half the battle!,1,2724
82,"five minutes is usually great, but sometimes I take it out early if it gets too hot",1,3714
83,I know. You're not supposed to rub off on me.,1,1181
