sentence,label,idx
was eating at a restaurant patio with a few friends,0,0
"found out that my 'girlfriend', who I've been emailing with, was really my friend playing a prank on me",0,1
was setting up my laptop's fingerprint scanner,0,2
"Pull it out, pull it out!",1,3
 I want to blow that one!,1,4
was caught going on Facebook at work,0,5
You're sticking it in the wrong hole!,1,6
was rejected by a girl when she told me she is not ready to date,0,7
How am I supposed to get my mouth around this?,1,8
My brother always wants to touch it....my sister is afraid of it....and my mom wants nothing to do with it.,1,9
"If you can get the inside wet, you should be able to get it off.",1,10
"daughter asked me what the youngest age you should start having sex is, being a good mother I said that she shouldn't have sex until after she's been married",0,11
I'm not even going to touch that one I'm just going to sit on it.,1,12
"masturbating in the shower, I heard my phone go off outside the bathroom",0,13
went to a fast-food joint and ordered off of the $1,0,14
"Sorry guys, it usually takes me a few holes to get warmed up.",1,15
proposed to my girlfriend in the food court at the mall,0,16
was at work at Panera,0,17
"Get out of my bush you little bastard, i just trimmed",1,18
come on! just put it in your mouth and blow!,1,19
I just found out that my ex girlfriend is gonna be my step mother,0,20
boyfriend and parents went out to dinner,0,21
and my co-workers were playing with the Helium tank we got today,0,22
mother told me she needed a urine sample to send in to the doctors to test for any allergies,0,23
what are you doing! you are going to get my sheets wet,1,24
"a great night of sexual pleasure, I ran to answer the door.",0,25
"a joke, I hid under my parents' bed, hoping to scare them when they came home",0,26
"You can just come, you don't have to eat.",1,27
picked up my 17 years old daughter after a late night movie in down town and got pulled over by a cop,0,28
"I dont think it's going to fit, maybe we should get it wet, then it will slide in really easy.",1,29
mum got drunk at a party and flashed me and my friends,0,30
"6 year old son learned that if you give a mouse a cookie, he will ask for a glass of milk",0,31
found out why my husband had wanted to wait until marriage to get it on,0,32
"Yeah, going in is a lot tougher than coming back out.",1,33
There's more on the floor than in my mouth.,1,34
I underestimated the amount of fluid coming out.,1,35
realized my friends and I should be more careful what we say around my younger brother,0,36
of my husband's old college buddies came over for dinner,0,37
real estate guy came with potential buyers to visit my house,0,38
"Now it shouldn't hurt, it just might be a little tight going in there. But once it's in there and going back and forth, there shouldn't be any pain. The only bad thing about it is the annoying grinding noise it makes!",1,39
"walked to school in -5 degree weather, snow up to ankles, for an exam",0,40
You gotta pull it out and lick all the white stuff off.,1,41
"It's great, because there's a ton of positions and it's still really satisfying.",1,42
You want a ride? All you have to do is sit on it.,1,43
Was that too fast? I'd be happy to do it again but much slower.,1,44
"mother, my aunt, and my two sisters are all on their periods",0,45
ran into my parents bedroom after I heard my name and what sounded like painful screams,0,46
was having sex with a guy I met and in the middle of it his mother called him,0,47
was my birthday,0,48
I can't get it back in the hole!,1,49
"Just taste it, and then spit it out. Don't swallow.",1,50
and my boyfriend came back to my house after a night on the town,0,51
It's hard to do it standing up.,1,52
"boyfriend gave me a poem saying Roses are red, violets are blue, rubbish is dumped and so are you",0,53
passed a homeless person asking for change,0,54
was surfing,0,55
found out I have a restraining order against me from my ex boyfriend,0,56
car was waiting for me to cross the street so I thought it would be funny to slowly limp across the street,0,57
"Now, if it's not rising, you may want to reposition your head!",1,58
Whats that?,1,59
"Every time I stick it in, it slides right back out!",1,60
what part of our relationship makes you think you can go in there.,1,61
friend and I were filming football practice and talking about what guys on the team were attractive and who we would want to get it on with,0,62
"Wow, why do you only have one hand on there? Is it not big enough for both of them?",1,63
You sure you know where to put it in?,1,64
boyfriend wanted to show me a magic trick,0,65
"the subway, a little tipsy, I sat down next to a guy I thought was cute, hoping to enjoy some harmless flirting",0,66
"Shake it hard, that way it'll all come out",1,67
ant bit my penis,0,68
was playing Xbox live with my boyfriend,0,69
"Now, a lot of you are doing it or have done it before, so you should have some idea of what you're doing.",1,70
of the 4 stalls were occupied in the rest room,0,71
"oops, I think my tailpipe just got stuffed.",1,72
"a hard rock concert, a bunch of guys accidentally knocked down a port-a-potty while moshing",0,73
"Yeah, sometimes I like to open her up and play with her.",1,74
was in a nightclub with my girlfriend when a beautiful woman looked at me in the most provocative way,0,75
the first time my boyfriend slept over,0,76
was sitting on the bus next to a hot guy who was texting,0,77
had my boss and his family over for dinner,0,78
"was making out with my boyfriend, when he suddenly stopped and looked at me",0,79
got married,0,80
"That's right, you can't stick it in if there's one in there already.",1,81
"Man, this is a lot harder then it looks, i can't do it.",1,82
usually you have to jerk it a couple times before it does that,1,83
called the number a guy had given me at a bar last night,0,84
...it was mostly oral.,1,85
Wanna taste my Fazoozle?,1,86
Dammit it fell out.,1,87
daughter told my son that Santa is not real,0,88
I hate how he always puts it in at the wrong time.,1,89
"was giving my boyfriend a blow job, he was twitching and moving around and saying oh yeah then he said take that bitch",0,90
"I did a load of blacks last night, they were all in there...",1,91
Do you know how long it'd take me to suck in order to get a swallow full?,1,92
what are my chances of getting head 3 times?,1,93
It's too hard to eat off of them,1,94
was talking to my boyfriend on the phone,0,95
put your fingers in all the holes.,1,96
"in my room sleeping, my little brother deemed it necessary to come in and drop a book on my face",0,97
was volunteering at a zoo event for special needs kids,0,98
got prostate examination for the first time,0,99
"I'm bleeding and it hurts, but I think we should just finish.",1,100
"it's not even wet yet, and u wanna go faster?",1,101
"women came into my work and one was wearing a shirt with a rainbow that said, We are everywhere",0,102
"four in the morning, I was asleep with my boyfriend beside me",0,103
wife and I watched a documentary film about a kid living with severe asthma,0,104
I'm so glad you made me come.,1,105
was in the basement at my grandma's house,0,106
my sister's and dad's birthday,0,107
planned to drop a water balloon on my visiting prankster brother from my new apartment's balcony,0,108
"it'll grow bigger, even if it might look weird at first, just let it grow.",1,109
AHHH! This one's a squirter! Somehow it sprayed into my ear too!! Grr now im gonna have smelly white crap all over my shirt all day. It's bad enough i'm already drenched in sweat.,1,110
"woke up with a hangover, a shaved head, and my period",0,111
Get your hand out of there! You're gonna stretch it out!,1,112
"Hi, I need some caulk.",1,113
"Well yeah, big things are more fun.",1,114
If it went any deeper i probably would have thrown up all over it.,1,115
You don't know what it's like to have these things hanging in your face all the time!,1,116
"while at work, I got a call",0,117
crush was talking to me on Facebook,0,118
I was going to tell you not to blow your load too early.,1,119
"girlfriend and I were watching TV, randomly she starts to undo my belt buckle, unzips my fly and then takes my pants off",0,120
"was looking at my recommendations on Amazon, which included several vibrators",0,121
had the sudden urge to sneeze as I was wiping my ass,0,122
More wood! You all need to get more wood!,1,123
got my first period,0,124
you look exhausted how many of those did you take?,1,125
"suburban, white boyfriend of two years told me he wanted to tell me something serious",0,126
Just put your hand down there and grab it,1,127
"It was just so beautiful, and big, and perfect.",1,128
It slides in so easily.,1,129
It's going to be really hot and tight.,1,130
mother and I got into a huge fight about me being a lesbian,0,131
"slow down, i can't get it in the hole.",1,132
I've never blown a giraffe before!,1,133
"Wow! That's a deep, dark crack down there!",1,134
found out that by brother was selling pictures of me showering,0,135
I wanna blow next!,1,136
We almost had a problem. I didnt think the hole was big enough.,1,137
was at the mall with my boyfriend and 2 friends,0,138
friends and I spent hours on the Disney website playing in Pixie Hollow,0,139
"Nope, it doesn't fit. Too big, ",1,140
when you get it open I know just the right way to squeeze it to get all the juice out,1,141
"was using a public bathroom when a woman backs in, pulls down her pants, and sits on my lap",0,142
tried opening a can for the first time using a manual can opener,0,143
was taking a bath and needed shampoo,0,144
Just stick it in already!,1,145
