,sentence,label,idx
0,Just hold the two balls in your hand before doing anything else with them,1,1650
1,I'll stretch it until you come.,1,2004
2,"No, you have to stick your whole hand in there.",1,1022
3,make sure your grip on the shaft is tight and your strokes long and hard.,1,1997
4,had my high school reunion,0,2758
5,was watching PokÃ©mon with my daughter when she told me that I reminded her of her favorite PokÃ©mon,0,1693
6,and my mother were driving through Del Taco,0,568
7,Here put it in my hands and ill lick it from the bottom for you,1,3729
8,"I got to my first class seat on an airplane, I saw the person I sit next to wafting the smell of their vagina towards themselves and breathing in deeply",0,1093
9,"OH It's running down my leg, dammit now it's in my sock.",1,3002
10,had an argument with my wife,0,626
11,sneezed so hard I herniated my back,0,999
12,was talking and joking with my boyfriend,0,1923
13,snuck out of my house in the middle of the night,0,3787
14,Pump with your right hand and then slowly add in your left.,1,3193
15,you have to go hard at it for 30 seconds,1,964
16,put your monster in here,1,266
17,Wow! That's even bigger than I thought!,1,3521
18,"hun don't play with it, the more you do the bigger its gonna get.",1,3674
19,"I was getting my mail, I received a free coupon from a baby supply store saying congratulations on your expectancy",0,3219
20, I want to blow that one!,1,4
21,mum came home from a business trip,0,1146
22,"I showered, I sneezed, hit my face on the wall, got shampoo in my eyes, slipped on a bar of soap, bashed my head on the wall as I fell, grabbed at the walls to stop me from falling and happened to turn off the cold water, scorching me",0,3761
23,Wow that's a really big dog.,1,2121
24,met my father for the first time since I was a baby,0,2276
25,"When we get done with the little one, were gonna do the big one.",1,3195
26,When you put it in your mouth it starts out hard but then if you keep going it gets really wet.,1,1480
27,was at a 21st birthday party,0,2769
28,Can you not drive like that while this is in my mouth? It's going to get all over my face.,1,3081
29,omg it just popped out in my face!,1,1077
30,Just give me something to shove in my mouth!,1,499
31,was walking by a bunch of pretty girls,0,1565
32,boyfriend and I were getting a bit steamy,0,1127
33,"just no matter what keep making me take it, even if you have to shove it down my throat.",1,3457
34,"Yeah, it's so big but my opening is so small.",1,3106
35,fiancÃ© and I were having wonderful sex with the bedroom door open,0,1028
36,They're going to keep coming like a rain that never ends.,1,2867
37,"a night of drinking, I woke up with some chips in my bed",0,3259
38,I just got nailed from behind!,1,3582
39,spent the whole day seeing how many licks it would take to get to the center of a Tootsie Roll Pop: 763,0,2485
40,"To open it, just finger it like this and push.",1,1932
41,needed new business cards so I went to design and print some,0,1679
42,"woke up with a hangover, a shaved head, and my period",0,111
43," It looks like we have an uneven amount of people, some of us will have to form a threesome.",1,3129
44,"I don't care how you get it in there, just do it!",1,727
45,I'm not blowing anything!,1,3703
46,"Okay, but you can't have my cherry.",1,415
47,I like the bigger ones better because I can hold them better.,1,1176
48,was having sex with my boyfriend,0,2634
49,came home a few days early from a 3-month business trip,0,844
50,it would be better with more people but one-on-one could still be fun,1,2122
51,boyfriend went to the aquarium,0,1519
52,was sifting through my parents old home movies,0,3570
53,it goes down easy but is hard to get it back up.,1,2113
54,just go eat your fruit.,1,343
55,heard my daughter scream at my son through the bathroom door Are you jacking off in there or something?! and him scream back at her Shut up you F*ing cunt! My daughter is 7 and my son is 8,0,450
56,new cocktail dress: $300,0,3836
57,dreamed that I met this beautiful girl at a restaurant and we ended up having lunch together,0,2461
58,was having sex with my husband,0,3645
59,Keep trying. It's had a lot of fingers in it before.,1,2589
60,I don't understand why it gets so big.,1,427
61,wife of three years asked me to meet her for lunch at Subway,0,3590
62,flew into LAX,0,3857
63,went to get a pedicure for the first time,0,819
64,boyfriend and I were choosing animals that reminded us of eachother,0,3229
65,"Well I tried to get it all in my mouth before it made a mess, but it came out so fast.",1,1139
66,was so drunk that my friends put me to bed during a party,0,3720
67,Hey look it fits in the crack!,1,773
68,"were no more seats on the bus I was taking home, which meant I had to stand",0,1500
69,"class, I asked my teacher for a rubber",0,515
70,It's a pretty big hole...I put my finger in it.,1,2619
71,pulled someone over for speeding,0,2847
72,was letting my boyfriend of 4 years tie me up and do stuff to me,0,1735
73,"There's too much of it, it wont all go in at once.",1,1667
74,"OK, I'm just going to hold this and stare at it until it comes.",1,1715
75,"called the florist and ordered a flower arrangement for my grandma, who I was told was sick",0,405
76,was walking on the track when this really cute guy shows up,0,3028
77,was talking to my mom,0,3915
78,I really had to push that thing in because it wasn't fitting.,1,1447
79,it is a little tight but your small so you could fit.,1,2908
80,"Just close your eyes and shove it in your mouth. Its small, slimy, and a little salty so you swallow it quick so you don't gag.",1,3536
81,"gosh, your making me so wet",1,1054
82,"Well, I can't do it as fast with my bad arm.",1,2305
83,car broke down,0,616
84,"You know, you can't fit an entire orange in your mouth.",1,2935
85,was driving in the left lane and was suddenly hit by a woman who was in the right lane,0,2185
86,"was using a public bathroom when a woman backs in, pulls down her pants, and sits on my lap",0,142
87,It's sore when I touch it and when you touch it,1,1379
88,went through the drive through at Dunkin Donuts and asked for an iced coffee,0,2078
89,"The rod's gotta fit in the hole real nice and tight. If it slides right in, the hole's too big.",1,1011
90,"Hot damn that hurt, but it was a good hurt. I broke a sweat. A major sweat.",1,2764
91,was hanging out with my boyfriend when we started messing around,0,2222
92,had dinner with the girl I thought I would end up marrying,0,1381
93,girlfriend was about to give me a blowjob,0,2794
94,"girl-scout asked me to buy cookies, in front of Giant",0,1010
95,my grandmother's funeral and we had to sing,0,2660
96,I knew it was coming but it surprised me anyway.,1,2358
97,I have three holes.,1,1292
98,It's still not very big,1,3842
99,at work as a security guard,0,523
100,"Mmm, I like where your head is.",1,2796
101,Man! I'm sure going to get a big load today!,1,2594
102,Do I have to be here long?,1,264
103,My brother always wants to touch it....my sister is afraid of it....and my mom wants nothing to do with it.,1,9
104,went to BlockBuster to rent a few comedies,0,1041
105,went into a haunted house,0,1532
106,discovered an enormous hairy spider sitting in the bathtub,0,2329
107,It's the wettest thing in the world.,1,2093
108,GUYS GET OFF YOUR GONNA BREAK IT!! YOU CANT GET ON IT WHEN ITS DROOPING DOWN LIKE THAT!!!,1,3746
109,There is no way that will fit in there! Just look at how tight it is!,1,1636
110,"bending over to get the brownies I was making out of the oven, my husband slapped my butt.",0,2800
111,I went to the grocery store where my husband works,0,298
112,boyfriend broke up with me using Lady GaGa lyrics,0,642
113,how big is this thing gonna get?,1,3130
114,"Wow, this is a lot to swallow",1,1776
115,was called by my 9 year old son's teacher,0,2466
116,"Yeah, he was trying to get all deep with me, and he just kept plugging away at but it wasn't working.",1,1647
117,wife started checking her email on her Blackberry while we were having sex,0,1368
118,I don't wanna blow Kevin's! I have no idea where that thing's been!,1,1889
119,I love staring at people when they pull out.,1,3797
120,was so lonely that I had a 3 hour conversation with a one-legged cricket I found in my room,0,854
121,"up in the shower room, I walked into the kitchen to get a drink",0,1481
122,"confessing my love for my best friend, he looked at me and said I'm not feeling it",0,1383
123,It took 4 of us to get it back up.,1,1494
124,mother found condoms in my room,0,2478
125,walked in on my husband in our room completely naked,0,3624
126,went to a party dressed as a Pinata,0,3384
127,"small on size, but big on pleasure",1,1442
128,was in the bathroom getting ready to take a shower,0,1157
129,was babysitting some kids and helping them make a poster about insects,0,3669
130,spotted one of my close friends using the ATM outside our school's university center,0,1356
131,"That's it, I give up. It was fun at first but then it just got harder and harder, and I kept falling off it.",1,2577
132,Well now you have to eat it because you already fingered it.,1,2472
133,had a job interview,0,3936
134,"Mmmmmm, it's salty.",1,3358
135,from up here it sounds like your sucking start blowing.,1,420
136,"Look, its getting harder!",1,2190
137,"Oh, it's moist, just the way I like it",1,790
138,"Once Iâ€™ve been drinking a lot, my top comes off pretty easily.",1,3277
139,What the heck is this white stuff all over the place? It's sticking to my hair!,1,2841
140," It's stuck again, help me get it out!",1,3061
141,crush came to my house to watch movies with me,0,3656
142,cat came up to me on the pavement so I petted it a little,0,3321
143,brother and I found a little bird that couldn't fly,0,1337
144,boyfriend told me in a very natural way that my mother is better at sex than me,0,217
145,house was broken into,0,566
146,If it went any deeper i probably would have thrown up all over it.,1,115
147,boyfriend and I were play wrestling,0,3725
148,There should be a big black one in there.,1,2268
149,attractive boss sat me down in the break room to say how much she appreciated how much work I've been doing despite being a temp,0,194
150,I was just happy I got him in there!,1,645
151,brother came out to our family as being gay,0,3030
152,That's okay we can just use lotion to get it off,1,2831
153,woke up next to a beautiful half naked brunette in my bed,0,1753
154,It won't come out!,1,186
155,"favorite teacher walked into our history class and everyone started whistling, I decided to join in by screaming 'sexy'",0,155
156,I'm sucking so hard and nothing is coming out.,1,1291
157," I'm having fun getting it off, but it keeps going back in my face",1,2940
158,I can't get in in gently and I don't wanna just shove it in ,1,1844
159,finally had sex with a girl I've been dating for over a month,0,3617
160,I was waiting for you to stick your hand up in there,1,3658
161,teacher confiscated my cell phone for text messaging,0,2680
162,I hate how he always puts it in at the wrong time.,1,89
163,got mugged,0,927
164, You need to get back on top.,1,2204
165,that's it babe... Pull out in front of everybody.,1,3319
166,I don't want to get my legs all wet before I get it in!,1,1683
167,boyfriend broke up with me over the phone,0,1748
168,tried to imitate Mary Poppins by jumping off a shed with an umbrella,0,787
169,"Stop jerking it so hard,its gonna break!",1,2375
170,Are you done in that hole? ,1,3068
171,I like the long thick black ones.,1,2729
172,Come on! come on! Faster faster! Harder Harder! Come on you can do it!,1,3680
173,I have a black man inside of me! All the time!,1,2080
174,my sister's and dad's birthday,0,107
175,was naked on top of my boyfriend looking lovingly into his eyes,0,2365
176,"No, no! Don't take it out! It wont go back in!",1,3649
177,"Give it to me in the front. Wait no, actually, give it to me in the back.",1,3912
178,"taking a shower, I saw shadows moving across the curtains",0,1564
179,"was walking out of a Starbucks and saw someone walking out behind me, thinking it would be the nice thing to do I held the door open",0,1552
180,"went shopping with my new It's true, I'm a Ninja shirt on",0,703
181,Its funny Im taller than Rob Zombie,1,374
182,farted while I was in line at the bank,0,2803
183,"Wow, if it was that wet, I'd just keep going back and forth, back and forth, back and forth. That would be fun.",1,1941
184,was having sex with a girl I really like for the first time,0,282
185,cousin told me that the stop signs outlined with a white line were optional,0,692
186,"Wow, you can spread them.",1,2026
187,Wait! you have to wrap it up before you just stick it in!,1,2689
188,"Whoa, wait a second. How on earth did that get in there?",1,3875
189,come on! just put it in your mouth and blow!,1,19
190,"Shake it hard, that way it'll all come out",1,67
191,"a game of manhunt, my brother and his friends thought it would be funny to tie me to a telelphone pole with my very own multicolored jumprope from when I was younger",0,3414
192,"boyfriend called, asking, before I could even talk, to bring a condom- NOW",0,824
193,"was swimming in the ocean, not too far off shore",0,3120
194,"I don't know about your toothbrush, but my finger did a pretty good job this morning",1,2481
195,realized my wedding ring was missing,0,2770
196,was riding the subway to work,0,2220
197,Get on the bottom,1,443
198,Do I still have white stuff on my face?,1,1625
199,finished the run for a play in which I played a gay man,0,377
200,it was too soft. I couldn't do anything with it.,1,248
201,was home by myself,0,3079
202,slept over at my friend's house but forgot my glasses,0,627
203,daughter turned 11,0,3418
204,"No, because it will take me longer than you to finish.",1,3235
205,"Well, I like it both ways!",1,2206
206,Can that thing even spurt cream out anymore?,1,3328
207,It tastes better if you lick it off the top,1,2150
208,Can you put it in? I can't seem to find the hole and it's starting to hurt already.,1,2193
209,texted my college boyfriend to tell him how terrible I felt about cheating,0,970
210,was at the mall with my girlfriend's family,0,1167
211,told my morbidly obese teacher that he had mustard on his chin,0,1833
212,met up with an old high school friend who I used to make fun of because he put so much effort into his studies,0,2497
213,cat was in the bathroom with me,0,2056
214,realized that the only boy who ever called me pretty was my 5-year-old brother.,0,2028
215,I don't think I could get my legs over top of those hurdles!.,1,2869
216,was in line at a checkout,0,2454
217,No! You're doing it wrong! You're sticking it in the wrong hole!,1,1717
218,rescue squad unit responded to a 911 call from a woman who felt she was going to pass out,0,3854
219,ring hockey.,1,2449
220,"masturbating in the shower, I heard my phone go off outside the bathroom",0,13
221,You really have to suck hard to get it come in your mouth.,1,3049
222,was flirting via text with a coworker,0,3482
223,"wow, you are done already...?",1,1624
224,"Everything was great, but your oral presentation didn't satisfy me enough",1,870
225,Dont spread your legs because I'm coming!,1,404
226,"friend sent me a bumper sticker that said, Do you know that gullible said slowly sounds like 'green bears'? I spent quite a few minutes trying to get gullible to sound like green bears until I realized that it didn't",0,1407
227,"sitting on the bus a stranger sat next to me, farted, put his hand under his butt to smell what it was like, and then sniffed it throughout the whole ride while glancing at me",0,625
228,"Oh, yeah, it's the blackest one I've ever seen and it lasts a really long time.",1,3529
229,"girlfriend missed our date, so I text her angry, telling her if she can't make our dates then we should break up, and generally telling her off",0,447
230,was at the mall with some friends,0,2872
231,I usually just go down but sometimes they make me do other things.,1,2572
232,usually you have to jerk it a couple times before it does that,1,83
233,mom explained to me that looking up gay porn on the internet is bad.,0,649
234,"He was big and I was nervous, I just took the picture and got out of there.",1,1066
235,"went to my girlfriend's sorority formal, we were both drunk",0,1527
236,went to Knott's Berry Farm with my girlfriend,0,557
237,"cuddling with my boyfriend in the dark, he grabbed onto a fat roll and asked, Is this your stomach or boob? I didn't have the heart to tell him it was a back roll",0,1448
238,accidentally walked in on my roommate while she was changing clothes,0,3715
239,found out my blood type is B,0,3768
240,decided to tell my mom about my choice to wait to have sex until after marriage,0,2626
241,"school, I was trying to pee in the stall, but I couldn't",0,2098
242,"came home to find my 25 year old boyfriend laughing hysterically at his laptop while he made Microsoft Sam say feces, penis, and diarrhea",0,2893
243,I'm pulling out now!,1,2688
244,"brother asked if he could borrow my razor, since he recently hit puberty and wanted to have a shave",0,2211
245,I was running a cute guy was coming towards me,0,3744
246,car was impounded because I never registered it in California after moving here,0,3932
247," I'm suprised that nut lasted that long, with it being finger tight.",1,2344
248,boyfriend told me he loved me for the very first time in three years,0,1781
249,make sure you bend your knees and grip it tight or we won't get anywhere,1,1334
250,"Yeah, well, they're easier to blow when they're big.",1,3655
251,Does he really need to back up that far to pull out?,1,551
252,daughter had just left for a date with her boyfriend,0,1152
253,walked into the kitchen and accidentally broke my mother's vase,0,1432
254,friend and I were filming football practice and talking about what guys on the team were attractive and who we would want to get it on with,0,62
255,got hit in the mouth with a hockey stick and lost four teeth,0,3210
256,"I was being very generous, I lent my jacket to my new co-worker",0,2712
257,"the church service was over, my two year old granddaughter started to sing into the microphone",0,346
258,I will wait until it's hard.,1,3422
259,had to return a shirt to Target,0,1019
260,parents hosted a party at our house,0,245
261,"There is one more to do, but it is really short.",1,3641
262,was vacuuming our house because I wanted to help my parents,0,2914
263,but then it'd be all dry and you couldn't spread it!,1,2194
264,my wedding,0,2661
265,"Oh good, I finally get to go down.",1,3526
266,"Ugh, you got it all over me!",1,1608
267,was going to my first job interview since I was laid off,0,3892
268,You need to be long and hard or else if wont go in right and you wont be able to pull out right,1,1075
269,"Its not that it was hard, it was just very very long.",1,662
270,WRONG HOLE!,1,2595
271,daughter got engaged,0,880
272,This one's nice and thick.,1,1768
273,why the f*ck would you pull out right when im coming??,1,299
274,"I can't see it, can you make it bigger?",1,2616
275,It's a good three inches deep. You should be able to fit a nice big sized rod in there.,1,2209
276,was in a very crowded train coming home from work,0,1331
277,Make sure you shove it kinda hard so it goes in the holes.,1,1544
278,allowed my five-year old daughter to paint my fingernails during a living-room picnic we were having,0,1223
279,was trying to convince my boyfriend that I am NOT a dumb blonde,0,273
280,came home to find that my room had been ransacked,0,2253
281,was doing a strip tease for my husband,0,2331
282,Put it in and then you can come inside.,1,2298
283,"Nah, I think he can squeeze it in.",1,1814
284,had a meeting with my super-hot TA,0,1294
285,was patting my kitten who was asleep underneath the blanket on my lap,0,683
286,"you need to pull it out, lick it, and stick it back in!",1,955
287,in the hospital because I sliced my leg open,0,1672
288,"house got robbed, while I was upstairs taking a dump",0,3294
289,"This thing just won't go in, ",1,3690
290,OW! Walter! You're so god damn big! I think you broke it!,1,2118
291,Looks like someone trimmed that bush.,1,2494
292,"dad woke me up at 6 told me to take a shower and drove me to school only to say just kidding, happy snowday!",0,2569
293,"arrived home to find my cat dead and note saying, Sorry, I tripped over him",0,3712
294,went to McDonald's for lunch and ordered a salad,0,1803
295,Have you tried taking it out and putting it back in?,1,622
296,"was completely wasted at my bachelor party, and my friends thought it would be funny to put sodium nitrate on my penis",0,3415
297,"...when it's thicker, it's usually shorter!",1,3275
298,It went right in; you just slipped it right up there!,1,2543
299,I need a 12 inch Italian Stallion (meat pizza).,1,1262
300,gave the option to my boyfriend of 5 years to either quit World of Warcraft of lose me,0,1611
301,It's such a tight fit with the other three already in there!,1,3902
302,"Straddling wood is more comfortable for me, because I ride.",1,314
303,I just need to stuff something in my mouth to keep me satisfied.,1,255
304,"driving to the store, an idiot driver found it to be okay to drive ridiculously fast in below freezing temperatures on the ice and snow",0,1627
305,sent a text message to my girlfriend telling her how much I wanted to make love to her tonight,0,501
306,6 year old daughter asked me if the tooth fairy was real,0,2529
307,Eww.. it's all over me. My face is sticky and I'm wet.,1,3693
308,"I love you, but you have to get out from between my legs",1,958
309,was sitting in the living room with my parents when my dad asked my mom if she knew where he could find some double a batteries,0,2154
310,stop blowing it or you will hurt yourself!,1,1821
311,"the dentist, I was getting my teeth cleaned",0,466
312,work I was looking for my lost wallet,0,219
313,"found out that I was adopted, now my gay brother thinks it's acceptable to tell me that he's always wanted to have sex with me",0,2269
314,pinch pots,1,1775
315,"was having sex with my wife when my 14 year old daughter from her room texts me, Stop",0,3459
316,was having passionate sex with my girlfiend of nine months,0,1771
317,"That was pretty big, but it could've been bigger!",1,2857
318,I can't get it out!,1,2392
319,"Wait we didn't do it right, there was supposed to be a big explosion at the end!",1,3072
320,I choked before I even put it in my mouth.,1,3901
321,my shaft is longer than yours.,1,1893
322,How are you doing in this position?,1,636
323,came out to my dad,0,1040
324,"I hated it, I don't like people in my mouth",1,2522
