text,label,id
"Can you two men row as well as my daughter?
",0,27680
"Fear a silent man. He has lips like a drum.
",0,21655
"WinErr: 72a Crucial Halt - Hang on, WHAT was that?
",1,2921
"Program this on a computer with which you are familiar.
",0,17439
"Solitude: A great place to visit, but a bad place to stay.
",1,2317
"Israel sets condition for Hebron troop pullout.
",0,26476
"You are not Superman, but sometimes thinking you are will save you ass!
",1,13323
"You're obviously suffering from delusions of adequacy.
",1,6606
"Come join everyone at our funny message forum! Post a joke, meet new friends, or just rant about your day!
",1,8382
"I'm not paranoid! Which of my enemies told you this?
",1,12696
"When you go for a job interview, don't forget to ask if they press charges.
",1,14376
"The PROFITBOSS never stops prospecting for profit.
",0,19179
"Shirk work and you will want bread.
",0,21390
"People who think they're out of this world always make you wish they were.
",1,987
"The fabric you forgot to pre-shrink will always shrink the most.
",1,2529
"My theory of evolution is that Darwin was adopted.
",1,282
"People who hate Christmas suffer from Claustrophobia.
",1,3261
"Blaming your faults on your nature does not change the nature of your faults.
",0,20175
"The Unknown Jokes! Get Comfy, There's 170+ Here!
",1,6016
"Christmas comes, but once a year is enough.
",0,31359
"Guinea calls two days of prayer.
",0,21016
"ARA bunkers forced up by barge market plays.
",0,23020
"U.S. MUNICIPAL FOCUS - prices end firm to higher.
",0,21686
"Remember, a chicken crossing the road is poultry in motion.
",1,15975
"Peru 42-day CDs draw 14.43 pct avg yield at sale.
",0,27406
"The Englishmen waited all winter at Cape Evans.
",0,16239
"Bare is brotherless back.
",0,27443
"DEBUG - Takes bugs off the windshield with minimum fuss.
",1,3784
"After any unit has been completely assembled, extra components will be found on the bench.
",1,6409
"Custom is the plague of wise men and the idol of fools.
",0,17653
"Jordan orders out three Iraqi embassy staffers.
",0,27755
"Conservation thinking has begun to grasp a few of the same nettles.
",0,22402
"Bond Buyer closing muni index 1/32 at 116-21/32.
",0,20317
"His mood can affect his driving If I'm depressed, I drive quite gently.
",0,21321
"Painted pictures are dead speakers.
",0,22761
"Flea market: What happens when the grocery store catches fire.
",1,15282
"There will be an intensive service of trains all weekend .
",0,17782
"Whoever rows the boat doesn't have time to rock it.
",1,14519
"Women's restroom, Dick's Last Resort, Dallas, Texas.
",1,11955
"S.Africa money market shortage surges 831 mln rand.
",0,30506
"What Happened to the fly on the toilet seat? He got pissed off!
",1,8432
"Conscience is what hurts when all your other parts feel so good.
",1,14055
"DEFINITION: Macro - The last half of an expression of surprise: ""Holy Macro"".
",1,15457
"That wis the last wan ever.
",0,27670
"If white wine goes with cooked fish, do white grapes go with sushi?
",1,8870
"Isn't having a smoking section in a restaurant kind of like having a peeing section in a swimming pool?
",1,329
"Childbirth is no more a miracle then eating food and a turd coming out of your ass.
",1,2826
"The collective burials continued, but the size of the tombs gradually diminished.
",0,31624
"Worry is interest paid in advance for a debt you many never owe.
",1,11623
"Really to stop criticism one must die.
",0,28683
