id,bert_sentence,t5_sentence,target,label
2311,A pathway-based gene signature correlates with therapeutic response in adult patients with Philadelphia chromosome-positive acute lymphoblastic leukemia,A pathway-based gene signature correlates with therapeutic response in adult patients with Philadelphia chromosome-positive acute lymphoblastic leukemia,not funny,0
1940,Synchronization control of switched linearly coupled neural networks with delay,Synchronization control of switched linearly coupled neural networks with delay,not funny,0
972,Effects of Group Size and Personality on Social Foraging: The Distribution of Sheep Across Patches.,Effects of Group Size and Personality on Social Foraging: The Distribution of Sheep Across Patches.,funny,1
225,Self-inflicted cesarean section with maternal and fetal survival.,Self-inflicted cesarean section with maternal and fetal survival.,funny,1
1226,The Development of the Attitudes to Chocolate Questionnaire.,The Development of the Attitudes to Chocolate Questionnaire.,funny,1
1611,Sex Differences in Sport Fan Behavior and Reasons for Being a Sport Fan.,Sex Differences in Sport Fan Behavior and Reasons for Being a Sport Fan.,funny,1
3401,"Partitioning the effects of spatial isolation, nest habitat, and individual diet in causing assortative mating within a population of threespine stickleback.","Partitioning the effects of spatial isolation, nest habitat, and individual diet in causing assortative mating within a population of threespine stickleback.",not funny,0
2695,Conflict anticipation in alcohol dependence - A model-based fMRI study of stop signal task,Conflict anticipation in alcohol dependence - A model-based fMRI study of stop signal task,not funny,0
1062,Review of Deep Oil Spill Modeling Activity Supported by the Deep Spill JIP and Offshore Operators Committee,Review of Deep Oil Spill Modeling Activity Supported by the Deep Spill JIP and Offshore Operators Committee,funny,1
2994,"Introduction, rationale, and methodology","Introduction, rationale, and methodology",not funny,0
502,Physical and situational inequality on airplanes predicts air rage,Physical and situational inequality on airplanes predicts air rage,funny,1
3032,Analysis of Plasma Biopterin Levels in Psychiatric Disorders Suggests a Common BH4 Deficit in Schizophrenia and Schizoaffective Disorder,Analysis of Plasma Biopterin Levels in Psychiatric Disorders Suggests a Common BH4 Deficit in Schizophrenia and Schizoaffective Disorder,not funny,0
334,It's 8 a.m.: do you know where your paradigm is?,It's 8 a.m.: do you know where your paradigm is?,funny,1
792,Where has all the road kill gone?,Where has all the road kill gone?,funny,1
3404,Phenolic Compounds of the Inner Bark of Betula pendula: Seasonal and Genetic Variation and Induction by Wounding,Phenolic Compounds of the Inner Bark of Betula pendula: Seasonal and Genetic Variation and Induction by Wounding,not funny,0
34,Human Digestive Effects on a Micromammalian Skeleton.,Human Digestive Effects on a Micromammalian Skeleton.,funny,1
3044,Valproate and lamotrigine in children and adolescents with drop attacks: follow-up after the first year.,Valproate and lamotrigine in children and adolescents with drop attacks: follow-up after the first year.,not funny,0
689,Human face structure correlates with professional baseball performance: insights from professional Japanese baseball players,Human face structure correlates with professional baseball performance: insights from professional Japanese baseball players,funny,1
203,Decreased level of psychobiological factor novelty seeking and lower intelligence in men latently infected with the protozoan parasite,Decreased level of psychobiological factor novelty seeking and lower intelligence in men latently infected with the protozoan parasite,funny,1
2444,Author index,Author index,not funny,0
381,A program to help major league baseball players quit using spit tobacco,A program to help major league baseball players quit using spit tobacco,funny,1
1853,"Comparative Innate Responses of the Aphid Parasitoid Diaeretiella rapae to Alkenyl Glucosinolate Derived Isothiocyanates, Nitriles, and Epithionitriles","Comparative Innate Responses of the Aphid Parasitoid Diaeretiella rapae to Alkenyl Glucosinolate Derived Isothiocyanates, Nitriles, and Epithionitriles",not funny,0
3272,"Contralateral Delay Activity Indexes Working Memory Storage, Not the Current Focus of Spatial Attention","Contralateral Delay Activity Indexes Working Memory Storage, Not the Current Focus of Spatial Attention",not funny,0
183,Equidistant Letter Sequences in the Book of Genesis,Equidistant Letter Sequences in the Book of Genesis,funny,1
568,Is There a Relationship Between Honor Codes and Academic Dishonesty?,Is There a Relationship Between Honor Codes and Academic Dishonesty?,funny,1
3065,"Heavy cannabis use prior psychosis in schizophrenia: clinical, cognitive and neurological evidences for a new endophenotype?","Heavy cannabis use prior psychosis in schizophrenia: clinical, cognitive and neurological evidences for a new endophenotype?",not funny,0
2032,Authenticable reversible data hiding scheme with less distortion in dual stego-images,Authenticable reversible data hiding scheme with less distortion in dual stego-images,not funny,0
