id,bert_sentence,t5_sentence,target,label
1273,was eating at a restaurant patio with a few friends,was eating at a restaurant patio with a few friends,not funny,0
1507,"found out that my 'girlfriend', who I've been emailing with, was really my friend playing a prank on me","found out that my 'girlfriend', who I've been emailing with, was really my friend playing a prank on me",not funny,0
1203,was setting up my laptop's fingerprint scanner,was setting up my laptop's fingerprint scanner,not funny,0
1888,"Pull it out, pull it out!","Pull it out, pull it out!",funny,1
2166, I want to blow that one!, I want to blow that one!,funny,1
2252,was caught going on Facebook at work,was caught going on Facebook at work,not funny,0
840,You're sticking it in the wrong hole!,You're sticking it in the wrong hole!,funny,1
3122,was rejected by a girl when she told me she is not ready to date,was rejected by a girl when she told me she is not ready to date,not funny,0
3011,How am I supposed to get my mouth around this?,How am I supposed to get my mouth around this?,funny,1
1256,My brother always wants to touch it....my sister is afraid of it....and my mom wants nothing to do with it.,My brother always wants to touch it....my sister is afraid of it....and my mom wants nothing to do with it.,funny,1
1254,"If you can get the inside wet, you should be able to get it off.","If you can get the inside wet, you should be able to get it off.",funny,1
3680,"daughter asked me what the youngest age you should start having sex is, being a good mother I said that she shouldn't have sex until after she's been married","daughter asked me what the youngest age you should start having sex is, being a good mother I said that she shouldn't have sex until after she's been married",not funny,0
1290,I'm not even going to touch that one I'm just going to sit on it.,I'm not even going to touch that one I'm just going to sit on it.,funny,1
1815,"masturbating in the shower, I heard my phone go off outside the bathroom","masturbating in the shower, I heard my phone go off outside the bathroom",not funny,0
3364,went to a fast-food joint and ordered off of the $1,went to a fast-food joint and ordered off of the $1,not funny,0
599,"Sorry guys, it usually takes me a few holes to get warmed up.","Sorry guys, it usually takes me a few holes to get warmed up.",funny,1
214,proposed to my girlfriend in the food court at the mall,proposed to my girlfriend in the food court at the mall,not funny,0
1654,was at work at Panera,was at work at Panera,not funny,0
3427,"Get out of my bush you little bastard, i just trimmed","Get out of my bush you little bastard, i just trimmed",funny,1
1490,come on! just put it in your mouth and blow!,come on! just put it in your mouth and blow!,funny,1
3698,I just found out that my ex girlfriend is gonna be my step mother,I just found out that my ex girlfriend is gonna be my step mother,not funny,0
1503,boyfriend and parents went out to dinner,boyfriend and parents went out to dinner,not funny,0
3188,and my co-workers were playing with the Helium tank we got today,and my co-workers were playing with the Helium tank we got today,not funny,0
2644,mother told me she needed a urine sample to send in to the doctors to test for any allergies,mother told me she needed a urine sample to send in to the doctors to test for any allergies,not funny,0
2396,what are you doing! you are going to get my sheets wet,what are you doing! you are going to get my sheets wet,funny,1
998,"a great night of sexual pleasure, I ran to answer the door.","a great night of sexual pleasure, I ran to answer the door.",not funny,0
2271,"a joke, I hid under my parents' bed, hoping to scare them when they came home","a joke, I hid under my parents' bed, hoping to scare them when they came home",not funny,0
2809,"You can just come, you don't have to eat.","You can just come, you don't have to eat.",funny,1
326,picked up my 17 years old daughter after a late night movie in down town and got pulled over by a cop,picked up my 17 years old daughter after a late night movie in down town and got pulled over by a cop,not funny,0
3858,"I dont think it's going to fit, maybe we should get it wet, then it will slide in really easy.","I dont think it's going to fit, maybe we should get it wet, then it will slide in really easy.",funny,1
3255,mum got drunk at a party and flashed me and my friends,mum got drunk at a party and flashed me and my friends,not funny,0
1581,"6 year old son learned that if you give a mouse a cookie, he will ask for a glass of milk","6 year old son learned that if you give a mouse a cookie, he will ask for a glass of milk",not funny,0
142,found out why my husband had wanted to wait until marriage to get it on,found out why my husband had wanted to wait until marriage to get it on,not funny,0
3937,"Yeah, going in is a lot tougher than coming back out.","Yeah, going in is a lot tougher than coming back out.",funny,1
2370,There's more on the floor than in my mouth.,There's more on the floor than in my mouth.,funny,1
3933,I underestimated the amount of fluid coming out.,I underestimated the amount of fluid coming out.,funny,1
634,realized my friends and I should be more careful what we say around my younger brother,realized my friends and I should be more careful what we say around my younger brother,not funny,0
333,of my husband's old college buddies came over for dinner,of my husband's old college buddies came over for dinner,not funny,0
3363,real estate guy came with potential buyers to visit my house,real estate guy came with potential buyers to visit my house,not funny,0
3440,"Now it shouldn't hurt, it just might be a little tight going in there. But once it's in there and going back and forth, there shouldn't be any pain. The only bad thing about it is the annoying grinding noise it makes!","Now it shouldn't hurt, it just might be a little tight going in there. But once it's in there and going back and forth, there shouldn't be any pain. The only bad thing about it is the annoying grinding noise it makes!",funny,1
1431,"walked to school in -5 degree weather, snow up to ankles, for an exam","walked to school in -5 degree weather, snow up to ankles, for an exam",not funny,0
558,You gotta pull it out and lick all the white stuff off.,You gotta pull it out and lick all the white stuff off.,funny,1
3847,"It's great, because there's a ton of positions and it's still really satisfying.","It's great, because there's a ton of positions and it's still really satisfying.",funny,1
467,You want a ride? All you have to do is sit on it.,You want a ride? All you have to do is sit on it.,funny,1
3223,Was that too fast? I'd be happy to do it again but much slower.,Was that too fast? I'd be happy to do it again but much slower.,funny,1
3181,"mother, my aunt, and my two sisters are all on their periods","mother, my aunt, and my two sisters are all on their periods",not funny,0
2525,ran into my parents bedroom after I heard my name and what sounded like painful screams,ran into my parents bedroom after I heard my name and what sounded like painful screams,not funny,0
3586,was having sex with a guy I met and in the middle of it his mother called him,was having sex with a guy I met and in the middle of it his mother called him,not funny,0
3744,was my birthday,was my birthday,not funny,0
381,I can't get it back in the hole!,I can't get it back in the hole!,funny,1
88,"Just taste it, and then spit it out. Don't swallow.","Just taste it, and then spit it out. Don't swallow.",funny,1
3316,and my boyfriend came back to my house after a night on the town,and my boyfriend came back to my house after a night on the town,not funny,0
3848,It's hard to do it standing up.,It's hard to do it standing up.,funny,1
1934,"boyfriend gave me a poem saying Roses are red, violets are blue, rubbish is dumped and so are you","boyfriend gave me a poem saying Roses are red, violets are blue, rubbish is dumped and so are you",not funny,0
