sentence,label,idx
had drunk sex with a girl that I barely know,0,0
husband dropped me off at work,0,1
5 year old nephew showed me green martians he'd made with his new Play Doh set,0,2
"came home to find a sock I previously used to whack off on my bed with googly eyes and a mouth drawn on it with a note that read Because you can't find a real girl, I made your current one prettier, Love Mom",0,3
was having sex with my boyfriend,0,4
texted my college boyfriend to tell him how terrible I felt about cheating,0,5
"saw an elderly man fall in a crosswalk, so I jumped off my bike to help",0,6
"son said, Mommy, sometimes my pee-pee goes up like a stick",0,7
boss called me into his office to show me the web site of a potential business partner,0,8
took the bus to work and a sweet old lady got on after me and sat next to me,0,9
daughter asked me when was the first time I had sex,0,10
five year old daughter was watching cartoons on TV,0,11
went on a date with a guy for the first time,0,12
was at the park when I saw a homeless man sleeping on a bench,0,13
texted my boyfriend saying Hi,0,14
was taking a nap,0,15
"forgot to do my French homework, but since it was an online worksheet, I told my teacher my internet wasn't working",0,16
heard my daughter scream at my son through the bathroom door Are you jacking off in there or something?! and him scream back at her Shut up you F*ing cunt! My daughter is 7 and my son is 8,0,17
"saw a video of me last night, hammered, climbing my wardrobe screaming I WANT TO GO TO NARNIA naked",0,18
bit my boyfriend's neck,0,19
was going to have sex with my Hispanic boyfriend,0,20
had a very intense sexual dream that made me come and left me panting when I woke up,0,21
was a TA for a history class and the class was taking a test,0,22
awoke to the sound of my dad knocking on my dorm room door for a surprise visit,0,23
six year old told me I have a big nose,0,24
"was getting sick of listening to the guy in the next room over getting nasty with some girl, so I called my girlfriend to see if she wanted to go get some food",0,25
husband of 9 years announced he was gay,0,26
"was walking when a man pointed a camera at me, so I decided to be bitchy about it and say Did I say you could take a picture? and he replied with, No, but can you get the fuck out of the way so I can take one of my wife and kids",0,27
"found out that whilst I was asleep last night, my boyfriend was playing on his XBox",0,28
"was sitting on a bench enjoying the sun, when a guy came and sat next to me",0,29
was playing around with my sister's kitten,0,30
boyfriend and I were cuddling on his couch when suddenly I tried to get up,0,31
went out with my family and boyfriend for dinner,0,32
tampon string was hanging from my bathing suit,0,33
"even trying, I convinced my 17-year-old daughter that blueberries are just peas holding their breath",0,34
told my parents that I wanted a little brother,0,35
"got a call saying that my son was chasing all the girls in the class with his Sword of Death, otherwise known as my dildo",0,36
"found out that my boyfriend is cheating on me, with the same guy I was cheating on him with",0,37
boyfriend and I were laying naked in my bed making out,0,38
found out my boyfriend stacks things on me while I sleep,0,39
my science class I sit next to my friend Jill,0,40
"boyfriend handcuffed me to the bed, naked",0,41
friend had to take my cat who has a tumor to be put down when I wasn't home since I couldn't bare to take him myself,0,42
was talking to my mom,0,43
my 18th birthday,0,44
ran over a squirrel,0,45
girlfriend was giving me head while I was watching Star Trek and I accidentally called her Spock,0,46
was talked into having sex with my boyfriend of 4 years,0,47
mom put some bubblewrap on my desk because she thought I would have fun with it,0,48
"wake up, switch on TV and the first thing I see is the picture of a wanted rapist who looks just like me",0,49
car was in the shop so I borrowed my wife's VW Beetle convertible,0,50
had my first job interview and didn't have much of an appetite because of the nerves,0,51
was at my school's spaghetti dinner with my family,0,52
boss fired me via text message,0,53
decided to take a nap,0,54
went to the store to buy groceries,0,55
"went shopping with my new It's true, I'm a Ninja shirt on",0,56
was letting my boyfriend of 4 years tie me up and do stuff to me,0,57
girl and I were chilling in my apartment and things got heated up and we started making out,0,58
"I got home, I went into my room to find a Bratz doll and a Ken doll laying naked, on top of each other on my bed",0,59
football club gave us all jerseys with our last names on them,0,60
"the dentist, I was getting my teeth cleaned",0,61
boyfriend thought it would be funny to speak Parseltongue to my vagina to prepare the Chamber of Secrets for entry,0,62
"was about to lose my virginity with my girlfriend of 2 years, when I got an urgent phone call from my 9-year-old sister, telling me I had to come home immediately",0,63
guys broke into my apartment to rob me at gunpoint,0,64
found out that the girl I've been dating online for over three months is actually a very bored 14 year old boy,0,65
was at the doctors office after throwing up for the past week,0,66
was having sex with my girlfriend when I came,0,67
decided to tell my mom about my choice to wait to have sex until after marriage,0,68
was playing with my pet hamster and I decided to put it down my pants for fun,0,69
had to give a presentation about Adolf Hitler,0,70
first girlfriend of over 3 years left me for another guy,0,71
was at the extremely crowded gym when someone came up behind me and shouted in my ear scaring the living shit out of me,0,72
went to get a condom because my boyfriend and I were going to have sex for the first time,0,73
was on the phone bragging to a friend about losing my virginity last night,0,74
had to take a dump,0,75
found out that I'm pregnant,0,76
was bored at my job at Home Depot,0,77
got back my math test,0,78
told my morbidly obese teacher that he had mustard on his chin,0,79
realized I've been playing too much Call of Duty,0,80
mother called me downstairs to give me what I assumed was going to be The Talk (About four years too late),0,81
was eating M&Ms on a chair when I dropped one and it fell under my crotch,0,82
new cocktail dress: $300,0,83
"was trying to have sex with my boyfriend, David",0,84
11 year old brother walked in on me sitting on my boyfriend's ass and giving him a back massage,0,85
boyfriend and I decided to have sex for the first time,0,86
boyfriend who likes to get high was driving me insisting he wasn't currently high,0,87
boyfriend of 2 years took me to get a tattoo done with his name on,0,88
fiancee broke up with me,0,89
family was preparing a turkey for my grandma's birthday dinner when my aunt noticed a utensil on the counter and asked what it was for,0,90
was serving a family at the restaurant where I work,0,91
went to announce to my son that I am pregnant again,0,92
and my boyfriend came back to my house after a night on the town,0,93
sent a picture to my girlfriend of my erect penis with a quote saying It's waiting for you,0,94
was in my new boyfriend's apartment for the first time,0,95
boyfriend broke up with me,0,96
was at McDonald's and I was going through the drive-thru,0,97
boyfriend and I were having sex,0,98
7 year old girl randomly came up to me and told me to fuck myself,0,99
got hypnotized at my school's variety show,0,100
was at my girlfriends house with just me and her,0,101
was having sex with my boyfriend when he started shaking really hard,0,102
"arrived home to find my cat dead and note saying, Sorry, I tripped over him",0,103
reading some chemistry notes I came across the term solid water,0,104
girlfriend wanted to name my penis,0,105
received a call from child care,0,106
saw a couple of beetles doing it,0,107
was naked on top of my boyfriend looking lovingly into his eyes,0,108
"was at the mall blasting music, I was wearing a nice shirt and had my ipod in my breast pocket when I noticed a cute girl smiling at me so I smiled back and she started to walk over while turning down my music while smiling",0,109
parents were out so I invited my girlfriend over,0,110
witnessed a horrible car accident and was interviewed by the local news,0,111
found out my mom paid my best friend $20 to be my friend when we were 10,0,112
Jackson died,0,113
elevator got stuck in between floor 4 and 5 at my doctors office,0,114
grandma walked into my room and asked if the thing lying on my nightstand was a computer,0,115
was enjoying some much needed serenity while I ate lunch in an empty park,0,116
"need to find a way to explain to my 5, 7 and 12 year old kids their uncle wants to become their aunt",0,117
fell asleep in class,0,118
"the airport, my mom began talking about how useless the war in Iraq was, and how dumb the soldiers that serve there were for enlisting during the war",0,119
"at dinner, I told my boyfriend that I wished he liked sushi",0,120
"was putting my 2 year old to bed, and I began to sing to her",0,121
was setting up my laptop's fingerprint scanner,0,122
was rejected from the University of Washington,0,123
boyfriend and I were in our room getting hot and heavy,0,124
found out that my son is not really gay,0,125
was feeling sick and having trouble breathing easily,0,126
boyfriend and I decided to try anal sex,0,127
had to explain to my son that his dad was too busy in a raid on World of Warcraft to be at his award ceremony,0,128
was masturbating into a sock when I felt something on my cock,0,129
"I was out to eat, I was approached by the restaurant manager",0,130
"the first time ever, a woman saw my penis",0,131
was in the car with my friends,0,132
rode my bike to work,0,133
was at the cafeteria of my school with my boyfriend and he dumped me,0,134
cat was in the bathroom with me,0,135
went on a date with my boyfriend,0,136
performed in my school play,0,137
over-protective mom decided to do a blacklight test on my room to make sure I wasn't doing the naughty in my bed,0,138
my wedding,0,139
asked my boyfriend what he was being for halloween,0,140
"cousin and I found out that when a girl puts a flower in the right side of her hair, it means she's available",0,141
"older brother told me that no matter how fast you run at automatic sliding doors, they'll open in time",0,142
boyfriend kept trying to convince me to do anal with him,0,143
"the middle of the night, I was punched in the face by my frightened girlfriend who had just been awakened by her own fart",0,144
was riding on the back of my dad's motorcycle,0,145
wonderful boyfriend asked me if I wanted him to cook me scrambled eggs with sausage for breakfast,0,146
boyfriend proposed to me at the zoo,0,147
was talking to my guy friend about prom,0,148
was driving on the motorway when a cop car made me stop,0,149
boyfriend and I were about to have sex for the first time,0,150
thought I heard my little sister playing on my brand new grand piano,0,151
walked in on my boyfriend watching a home made sex tape he had previously made with his ex-girlfriend,0,152
"husband and I were in bed, and just as I was about to finish he screamed, Oh shit! It's 4:15, my strawberries are gonna whither!!!! and then jumped off me and went to check on his farm on FarmVille",0,153
"was in an elevator, and the hot girl who lives in my building and who I have a crush on got in",0,154
"texted my boyfriend of 6 months saying that I was in the mood, and that I was in bed, and naked",0,155
was cleaning one of my elderly patient's teeth,0,156
was walking through Macy's with my girlfriend,0,157
was riding the subway to work,0,158
"went into labor with my first child, and as much as I pleaded, I had to wait for my husband to finish his raid in World of Warcraft before he'd take me to the hospital",0,159
had a job interview,0,160
was bored and decided it would be fun to pretend to be an undercover cop and pull over other cars,0,161
"was the only one in an elevator when an attractive girl came in, talking on her phone",0,162
"girl-scout asked me to buy cookies, in front of Giant",0,163
dog started to hump my leg,0,164
found out I have a daughter,0,165
went through the drive through at Dunkin Donuts and asked for an iced coffee,0,166
had my first appearance in a court as an attorney,0,167
went to meet my girlfriends parents for the first time,0,168
my husband said that when we have sex he almost gets as excited as he does when he gets a chopper gunner on Black Ops,0,169
was going down on a girl,0,170
got a call from the hospital that my fiance was in the ER,0,171
"had an elaborate plan to ask this girl to Prom, and it was going to take a few minutes to set up",0,172
boyfriend left me for my step-sister,0,173
noticed a string was following behind our family cat,0,174
mom and I went to Winn-Dixie,0,175
was at walmart when my stomach began to hurt,0,176
found out that my best friend lost her virginity to my father,0,177
parents told me about how they met,0,178
mom drove me to football practice,0,179
was rushed to the hospital because I was crying so hard I couldn't breathe,0,180
"class was focusing on discrimination, and our teacher asked us if anyone had ever felt discriminated against",0,181
"in my class wrote 'erase me if you can' at the very top of the board, as I am always tormented about how short I am compared to everyone else",0,182
guy friend and I were in his dorm room watching a movie when he started kissing me,0,183
am 3 months pregnant,0,184
"work, a woman came up to the counter and asked if we made sweet and sour chicken",0,185
found out that my sister who is 16 years older than me is actually my biological mother,0,186
playing basketball with my little brother,0,187
went up to a secluded mountain my boyfriend took me to for our first date,0,188
was giving my boyfriend head,0,189
went to a funeral for my coworker's father,0,190
"was in spanish class, having a debate about the death penalty",0,191
found out just how thin the walls at my new student flat are,0,192
toddler stood up in the shopping cart and fell giving himself a black eye,0,193
"girlfriend and I were watching TV, randomly she starts to undo my belt buckle, unzips my fly and then takes my pants off",0,194
had to go to the police station to pick up my 42 year old dad,0,195
called a suicide prevention hotline,0,196
got a call from my son's second grade teacher,0,197
was at the mall with my mom,0,198
was picking my daughter up at day care,0,199
my wedding night,0,200
woke up in the hospital,0,201
of my husband's old college buddies came over for dinner,0,202
daughter and husband decided to surprise me at work,0,203
found out that my husband named our daughter after his favorite porn star,0,204
was having sex with my girlfriend,0,205
friends had ditched me for a party I hadn't been invited to so I was sitting home alone,0,206
I just found out that my ex girlfriend is gonna be my step mother,0,207
was watching a horror movie with my girlfriend,0,208
got an email from the company that manages my Cat's microchip informing me that I had to update my information that had been entered by the local Humane Society,0,209
was in the bathroom getting ready to take a shower,0,210
cat learned how to flush the toilet while I was in the shower,0,211
was walking with and hugging my girlfriend at the same time,0,212
6 year old daughter saw a man in a wheelchair who's leg had been amputated,0,213
found out my little sister was a stripper,0,214
daughter came up to me crying,0,215
was eating at a Mexican restaurant with my sister,0,216
lunch I was running to my group's table with my friend,0,217
"was making out with my boyfriend, when he suddenly stopped and looked at me",0,218
"was on Skype with a guy I really like, in the living room",0,219
took a call,0,220
told my boyfriend I was really horny,0,221
"was fooling around a bit with my girlfriend while cooking dinner when she said, Don't get too excited, I want to watch The Princess and the Frog tonight",0,222
teach English in Taiwan,0,223
adorable 8 year old son told me he no longer wanted me to pick him up from school,0,224
decided to have sex for the first time with my boyfriend,0,225
went to the doctor for horrible stomach pains,0,226
"I was working at McDonald's, a man and his wife ordered a Sundae",0,227
