sentence,label,idx
"Can we finish this orally, my hand is starting to hurt.",1,0
"it's sooo hard! I can't fit it in, it's just too small.",1,1
"Come on! If it had gone in my mouth I wouldn't have cared, but you had to shoot it up the wrong hole!.",1,2
"Oh jeez that's no good, he hasn't even pulled out yet and he's already losing wood.",1,3
"its pretty hard, but I can usually ease myself into the hole.",1,4
"This bush smells so good, I just want to keep my face in it all day.",1,5
AHH! It exploded in my mouth! But it tastes pretty good!,1,6
"Ok, do you want to suck first or should I?",1,7
I like to just put a whole load in my mouth and suck on it,1,8
"pull out the stick, wipe it off, then put it back in. Then pull it out again and look at how much fluid is left on the stick.",1,9
"It's too big, it's too wide, it's too strong, it won't fit, It's too much, it's too tough",1,10
"Yeah, sometimes I like to open her up and play with her.",1,11
"Oh, I guess my hole was just big enough for you to fit it in.",1,12
I regretted it as soon as I put it in my mouth.,1,13
"Don't worry, I blew him dry.",1,14
why the f*ck would you pull out right when im coming??,1,15
"Come on guys, 69 isn't even that hard. Someone do 69 infront of the class now.",1,16
"just no matter what keep making me take it, even if you have to shove it down my throat.",1,17
"He's not going to be able to get in the backdoor, there's a stool in the way.",1,18
make sure your grip on the shaft is tight and your strokes long and hard.,1,19
Would you like the black one or the white one?,1,20
you have to go in hard and come out wet and breathless. You'll feel good when you're done.,1,21
I was lying on my back in bed playing with it and it exploded in my face.,1,22
best 4 inches ever,1,23
Hurry up!! It's getting hard! It's getting hard!,1,24
I can't go 2 minutes without getting railed from behind,1,25
"It's so awkward, I hate how he always tries to have a conversation with me while he's in my mouth.",1,26
"God, I love Cox!",1,27
"if you play with it in front of me, I'm going to want to touch it.",1,28
but hes doing it so hard and fast!,1,29
I don't wanna blow Kevin's! I have no idea where that thing's been!,1,30
I don't think I could get my legs over top of those hurdles!.,1,31
"I know that as soon as I take my top off, he's going to come.",1,32
You suck and suck and suddenly you get a load in the back of your throat,1,33
"Well, it was all the way down, then Jenny brought it up some, and Kristin got it all the way up.",1,34
"Everyday I get rode on. First thing in the morning, I wake up and someones riding on me, its not just guys either, girls too. I get rode on long and hard and they just won't stop. I'm just tired of being ridden on while I'm not ready",1,35
"It's great, because there's a ton of positions and it's still really satisfying.",1,36
stop blowing on it!,1,37
"if any of you need a good fingering, John would be happy to help.",1,38
is the oven ready yet?,1,39
You took it out way to early and im sooooo wet! Put it back in and don't get it everywhere!,1,40
"forget about the wrapper, I want it in my mouth now!!!",1,41
"Well I tried to get it all in my mouth before it made a mess, but it came out so fast.",1,42
The white one doesn't taste any different then the black one.,1,43
"Wow, two holes and you miss them both.",1,44
"He whipped it out, tried to squirt it in my mouth, but he missed and got it all over my face!",1,45
"It only takes the skinny ones too, every time I try putting a bigger one in that tiny hole, the entire thing gets jammed!",1,46
Are you using the one or two finger attack?,1,47
My favorite treat is the Ho-Hos. Those ho-hos are fully of yummy white cream.,1,48
which side sucks and which side blows?,1,49
squeeze it hard..massage it...pull it till all the color comes out...yes it can get a little dirty,1,50
"You can't just go in and pull out. You gotta stay there for a while. Also, keep it steady, nothing is worse than shaking. You may think you are doing a good job, but people don't like it.",1,51
"That's easy! You suck on it, the stuff comes into your mouth, and then you swallow.",1,52
"excuse me, how do i suck on these balls?",1,53
I hate it when they pull out when they know you are coming!,1,54
"Don't make fun of me, he just got me so wet on that last ride.",1,55
"it's fun to play with, but I don't wanna stretch the hole.",1,56
"Just close your eyes and shove it in your mouth. Its small, slimy, and a little salty so you swallow it quick so you don't gag.",1,57
"Guys are you sure that you wanna go like that, I'm free, I have nothing better to do and if you want I can give each of you a ride if you guys want, especially you michael, you're my favourite.",1,58
Where do I stick this thing?,1,59
What is on your shirt?,1,60
The stuff comes out no matter where you squeeze it.,1,61
That position looks awkward.,1,62
"Why is it every time you come, you get wet?",1,63
"It's so good I could suck on it all day, it's just hard to get anything to come out.",1,64
"do it like I did it last night, knees on the floor.",1,65
Why would anyone want to shove something that big in someone's mouth?,1,66
"Do you have any idea how long and hard I had to work to get her to come? Let alone, twice!",1,67
"God, how many times do I have to blow this thing to make it turn on!?",1,68
"Now I can handle 3 inches or so, but 6 is just too much to handle.",1,69
"It's so big, look at all the white stuff coming out",1,70
"Ow don't stick that up my butt, that hurts!",1,71
"Yeah, Pedro and I did it last night, but I'm not sure if it counted because he fell asleep half way through. I just kept going though, because I needed to get it done.",1,72
I love it when black guys go deep.,1,73
Why is he riding my butt so hard??,1,74
Look at the size of the things they're blowing! It's huge!,1,75
