dataset,param_metric,top,seed,learning_rate,per_device_train_batch_size,per_device_eval_batch_size,max_steps,lora_rank,lora_alpha,median_accuracy,model_name
amazon,best_trained,1,42,0.0003,2,2,200,128,64,0.8732,Llama-2-7b-hf-amazon-2024-09-12
amazon,best_trained,2,42,0.0003,2,2,200,32,64,0.8720,Llama-2-7b-hf-amazon-2024-09-12
amazon,best_trained,3,42,0.0003,2,2,200,32,32,0.8696,Llama-2-7b-hf-amazon-2024-09-12
amazon,best_median,1,42,0.0003,2,2,150,32,8,0.6309,Llama-2-7b-hf-amazon-2024-09-12
amazon,best_median,2,42,0.0003,2,2,150,128,8,0.6260,Llama-2-7b-hf-amazon-2024-09-11
amazon,best_median,3,42,0.0003,2,2,150,64,32,0.6216,Llama-2-7b-hf-amazon-2024-09-11
dadjokes,best_trained,1,42,0.0003,4,4,200,64,64,0.9433,Llama-2-7b-hf-dadjokes-2024-10-08
dadjokes,best_trained,2,42,0.0003,4,4,200,128,64,0.9422,Llama-2-7b-hf-dadjokes-2024-10-08
dadjokes,best_trained,3,42,0.0003,4,4,200,64,32,0.9362,Llama-2-7b-hf-dadjokes-2024-09-12
dadjokes,best_median,1,42,0.0003,4,4,150,128,8,0.6605,Llama-2-7b-hf-dadjokes-2024-09-13
dadjokes,best_median,2,42,0.0003,4,4,200,32,8,0.6599,Llama-2-7b-hf-dadjokes-2024-09-12
dadjokes,best_median,3,42,0.0003,4,4,150,128,16,0.6586,Llama-2-7b-hf-dadjokes-2024-09-13
headlines,best_trained,1,42,0.0003,2,2,200,128,64,0.9583,Llama-2-7b-hf-headlines-2024-10-09
headlines,best_trained,2,42,0.0003,2,2,200,64,64,0.9568,Llama-2-7b-hf-headlines-2024-09-16
headlines,best_trained,3,42,0.0003,2,2,200,64,32,0.9553,Llama-2-7b-hf-headlines-2024-10-09
headlines,best_median,1,42,0.0003,2,2,150,32,16,0.6237,Llama-2-7b-hf-headlines-2024-09-10
headlines,best_median,2,42,5e-05,2,2,150,32,64,0.6086,Llama-2-7b-hf-headlines-2024-09-10
headlines,best_median,3,42,5e-05,2,2,150,128,64,0.6079,Llama-2-7b-hf-headlines-2024-10-09
one_liners,best_trained,1,42,0.0003,4,4,200,64,64,0.9333,Llama-2-7b-hf-one_liners-2024-09-13
one_liners,best_trained,2,42,0.0003,4,4,200,128,64,0.9322,Llama-2-7b-hf-one_liners-2024-09-13
one_liners,best_trained,3,42,0.0003,4,4,150,64,64,0.9299,Llama-2-7b-hf-one_liners-2024-09-13
one_liners,best_median,1,42,5e-05,4,4,200,128,8,0.5892,Llama-2-7b-hf-one_liners-2024-09-13
one_liners,best_median,2,42,0.0003,4,4,200,64,64,0.5882,Llama-2-7b-hf-one_liners-2024-09-13
one_liners,best_median,3,42,0.0003,4,4,200,128,64,0.5842,Llama-2-7b-hf-one_liners-2024-09-13
yelp_reviews,best_trained,1,42,0.0003,1,1,200,32,8,0.6532,Llama-2-7b-hf-yelp_reviews-2024-09-19
yelp_reviews,best_trained,2,42,0.0003,1,1,200,128,8,0.6525,Llama-2-7b-hf-yelp_reviews-2024-09-19
yelp_reviews,best_trained,3,42,0.0003,1,1,200,32,16,0.6485,Llama-2-7b-hf-yelp_reviews-2024-09-19
yelp_reviews,best_median,1,42,5e-05,1,1,150,128,16,0.5618,Llama-2-7b-hf-yelp_reviews-2024-09-11
yelp_reviews,best_median,2,42,5e-05,1,1,150,128,32,0.5615,Llama-2-7b-hf-yelp_reviews-2024-09-19
yelp_reviews,best_median,3,42,5e-05,1,1,200,128,16,0.5550,Llama-2-7b-hf-yelp_reviews-2024-09-18
