dataset,param_metric,top,learning_rate,per_device_train_batch_size,per_device_eval_batch_size,lora_rank,lora_alpha,num_train_epochs,median_accuracy,model_name
PAIR_amazon_dadjokes,best_median,1,0.0003,4,4,32,32,2,0.7815,Llama-2-7b-hf-PAIR_amazon_dadjokes-COMB-dadjokes-comb-2-seed-7-2025-06-23
PAIR_amazon_dadjokes,best_median,2,0.0003,4,4,128,32,2,0.7784,Llama-2-7b-hf-PAIR_amazon_dadjokes-COMB-dadjokes-comb-1-seed-18-2025-06-20
PAIR_amazon_dadjokes,best_median,3,0.0003,4,4,128,8,2,0.7679,Llama-2-7b-hf-PAIR_amazon_dadjokes-COMB-dadjokes-comb-3-seed-7-2025-06-23
PAIR_amazon_headlines,best_median,1,6e-05,2,2,128,32,2,0.7724,Llama-2-7b-hf-PAIR_amazon_headlines-COMB-amazon-comb-3-seed-7-2025-06-20
PAIR_amazon_headlines,best_median,2,6e-05,2,2,128,32,2,0.7714,Llama-2-7b-hf-PAIR_amazon_headlines-COMB-headlines-comb-3-seed-28-2025-06-24
PAIR_amazon_headlines,best_median,3,5e-05,2,2,128,16,2,0.7602,Llama-2-7b-hf-PAIR_amazon_headlines-COMB-headlines-comb-2-seed-28-2025-06-24
PAIR_dadjokes_headlines,best_median,1,0.0003,4,4,128,32,2,0.7739,Llama-2-7b-hf-PAIR_dadjokes_headlines-COMB-dadjokes-comb-1-seed-18-2025-06-19
PAIR_dadjokes_headlines,best_median,2,0.0003,4,4,32,32,2,0.7679,Llama-2-7b-hf-PAIR_dadjokes_headlines-COMB-dadjokes-comb-2-seed-7-2025-06-19
PAIR_dadjokes_headlines,best_median,3,0.0003,4,4,128,8,2,0.7606,Llama-2-7b-hf-PAIR_dadjokes_headlines-COMB-dadjokes-comb-3-seed-7-2025-06-19
PAIR_dadjokes_one_liners,best_median,1,0.0003,4,4,32,32,2,0.8237,Llama-2-7b-hf-PAIR_dadjokes_one_liners-COMB-dadjokes-comb-2-seed-42-2025-06-20
PAIR_dadjokes_one_liners,best_median,2,0.0003,4,4,32,32,2,0.8181,Llama-2-7b-hf-PAIR_dadjokes_one_liners-COMB-one_liners-comb-3-seed-28-2025-06-24
PAIR_dadjokes_one_liners,best_median,3,0.0003,4,4,128,32,2,0.8162,Llama-2-7b-hf-PAIR_dadjokes_one_liners-COMB-dadjokes-comb-1-seed-7-2025-06-20
PAIR_headlines_one_liners,best_median,1,0.0003,4,4,32,32,2,0.7649,Llama-2-7b-hf-PAIR_headlines_one_liners-COMB-one_liners-comb-3-seed-28-2025-06-23
PAIR_headlines_one_liners,best_median,2,6e-05,2,2,128,32,2,0.7320,Llama-2-7b-hf-PAIR_headlines_one_liners-COMB-headlines-comb-3-seed-18-2025-06-20
PAIR_headlines_one_liners,best_median,3,5e-05,2,2,128,16,2,0.7225,Llama-2-7b-hf-PAIR_headlines_one_liners-COMB-headlines-comb-2-seed-7-2025-06-19
PAIR_one_liners_amazon,best_median,1,0.0003,2,2,64,8,2,0.7519,Llama-2-7b-hf-PAIR_one_liners_amazon-COMB-amazon-comb-1-seed-18-2025-06-20
PAIR_one_liners_amazon,best_median,2,0.0003,2,2,32,8,2,0.7483,Llama-2-7b-hf-PAIR_one_liners_amazon-COMB-amazon-comb-2-seed-7-2025-06-23
PAIR_one_liners_amazon,best_median,3,0.0003,4,4,32,32,2,0.7331,Llama-2-7b-hf-PAIR_one_liners_amazon-COMB-one_liners-comb-3-seed-18-2025-06-20
