Trained On,Tested On,Accuracy,95% CI (ME),CI Lower Bound,CI Upper Bound
PAIR_amazon_dadjokes,amazon,0.8948,±0.0053,0.8895,0.9001
PAIR_amazon_dadjokes,dadjokes,0.9498,±0.0072,0.9426,0.957
PAIR_amazon_dadjokes,headlines,0.735,±0.0113,0.7237,0.7463
PAIR_amazon_dadjokes,one_liners,0.7394,±0.0377,0.7017,0.7771
PAIR_amazon_headlines,amazon,0.8933,±0.0021,0.8912,0.8954
PAIR_amazon_headlines,dadjokes,0.6693,±0.049,0.6203,0.7183
PAIR_amazon_headlines,headlines,0.9647,±0.0078,0.9569,0.9725
PAIR_amazon_headlines,one_liners,0.666,±0.0267,0.6393,0.6927
PAIR_dadjokes_headlines,amazon,0.705,±0.0304,0.6746,0.7354
PAIR_dadjokes_headlines,dadjokes,0.9051,±0.0041,0.901,0.9092
PAIR_dadjokes_headlines,headlines,0.9467,±0.0059,0.9408,0.9526
PAIR_dadjokes_headlines,one_liners,0.6964,±0.0215,0.6749,0.7179
PAIR_dadjokes_one_liners,amazon,0.6626,±0.0907,0.5719,0.7533
PAIR_dadjokes_one_liners,dadjokes,0.9544,±0.0057,0.9487,0.9601
PAIR_dadjokes_one_liners,headlines,0.7009,±0.0113,0.6896,0.7122
PAIR_dadjokes_one_liners,one_liners,0.944,±0.0025,0.9415,0.9465
PAIR_headlines_one_liners,amazon,0.6758,±0.057,0.6188,0.7328
PAIR_headlines_one_liners,dadjokes,0.524,±0.0081,0.5159,0.5321
PAIR_headlines_one_liners,headlines,0.9673,±0.0046,0.9627,0.9719
PAIR_headlines_one_liners,one_liners,0.9404,±0.0021,0.9383,0.9425
PAIR_one_liners_amazon,amazon,0.9024,±0.0065,0.8959,0.9089
PAIR_one_liners_amazon,dadjokes,0.5342,±0.0045,0.5297,0.5387
PAIR_one_liners_amazon,headlines,0.7407,±0.0127,0.728,0.7534
PAIR_one_liners_amazon,one_liners,0.9436,±0.0059,0.9377,0.9495
